strategy,symbols,emaFast,emaSlow,minRsi,maxRsi,minVolumeFactor,maxVolumeFactor,atrStop,atrTake,trainTrades,trainNetPnl,trainPF,trainWinRate,trainMaxDD,testTrades,testNetPnl,testPF,testWinRate,testMaxDD,score,candidate
"trendMomentum","BTC-USDT+ETH-USDT+SOL-USDT","20","50","42","55","0.8","1.5","1.2","1.8","5","-1.19","0.59","60","1.98","13","-1.58","0.87","46.15","4.37","4.12","false"
"trendMomentum","BTC-USDT+ETH-USDT","20","50","42","55","0.8","1.5","1.2","1.8","0","0","N/A","0","0","4","-2.87","0.09","25","1.87","-6.71","false"
"trendMomentum","ETH-USDT","20","50","42","55","0.8","1.5","1.2","1.8","0","0","N/A","0","0","1","-1.27","0","0","1.27","-3.81","false"
"trendMomentum","BTC-USDT","20","50","42","55","0.8","1.5","1.2","1.8","0","0","N/A","0","0","3","-1.6","0.14","33.33","1.87","-3.67","false"
"trendMomentum","BTC-USDT+ETH-USDT+SOL-USDT","30","100","42","55","0.8","1.5","1.2","1.8","13","-4.48","0.54","46.15","5.02","13","5.38","1.72","61.54","2.9","17.76","false"
"trendMomentum","BTC-USDT+ETH-USDT","30","100","42","55","0.8","1.5","1.2","1.8","1","-0.93","0","0","0.93","5","-1.77","0.44","40","1.88","-1.02","false"
"trendMomentum","ETH-USDT","30","100","42","55","0.8","1.5","1.2","1.8","0","0","N/A","0","0","2","-0.16","0.87","50","1.27","7.11","false"
"trendMomentum","BTC-USDT","30","100","42","55","0.8","1.5","1.2","1.8","1","-0.93","0","0","0.93","3","-1.61","0.14","33.33","1.88","-3.7","false"
"trendMomentum","BTC-USDT+ETH-USDT+SOL-USDT","9","21","42","55","0.8","1.5","1.5","2.5","2","-0.42","0.74","50","1.61","4","1.69","1.43","50","2.84","8.54","false"
"trendMomentum","BTC-USDT+ETH-USDT","9","21","42","55","0.8","1.5","1.5","2.5","0","0","N/A","0","0","1","-1.09","0","0","1.09","-3.27","false"
"trendMomentum","ETH-USDT","9","21","42","55","0.8","1.5","1.5","2.5","0","0","N/A","0","0","0","0","N/A","0","0","0","false"
"trendMomentum","BTC-USDT","9","21","42","55","0.8","1.5","1.5","2.5","0","0","N/A","0","0","1","-1.09","0","0","1.09","-3.27","false"
"trendMomentum","BTC-USDT+ETH-USDT+SOL-USDT","20","50","42","55","0.8","1.5","1.5","2.5","4","-4.18","0.08","25","4.53","9","-3.25","0.74","33.33","5.26","-3.96","false"
"trendMomentum","BTC-USDT+ETH-USDT","20","50","42","55","0.8","1.5","1.5","2.5","0","0","N/A","0","0","2","-2.56","0","0","1.46","-6.58","false"
"trendMomentum","ETH-USDT","20","50","42","55","0.8","1.5","1.5","2.5","0","0","N/A","0","0","1","-1.46","0","0","1.46","-4.38","false"
"trendMomentum","BTC-USDT","20","50","42","55","0.8","1.5","1.5","2.5","0","0","N/A","0","0","1","-1.1","0","0","1.1","-3.3","false"
"trendMomentum","BTC-USDT+ETH-USDT+SOL-USDT","30","100","42","55","0.8","1.5","1.5","2.5","11","-5.29","0.52","36.36","6.38","8","3.94","1.52","50","2.95","12.73","false"
"trendMomentum","BTC-USDT+ETH-USDT","30","100","42","55","0.8","1.5","1.5","2.5","1","-1.04","0","0","1.04","2","-2.9","0","0","1.8","-7.6","false"
"trendMomentum","ETH-USDT","30","100","42","55","0.8","1.5","1.5","2.5","0","0","N/A","0","0","1","-1.8","0","0","1.8","-5.4","false"
"trendMomentum","BTC-USDT","30","100","42","55","0.8","1.5","1.5","2.5","1","-1.04","0","0","1.04","1","-1.1","0","0","1.1","-3.3","false"
"trendMomentum","BTC-USDT+ETH-USDT+SOL-USDT","9","21","42","55","1","1.5","1","1.5","1","0.52","N/A","100","0","3","2.12","3.38","66.67","0.89","37.15","false"
"trendMomentum","BTC-USDT+ETH-USDT","9","21","42","55","1","1.5","1","1.5","0","0","N/A","0","0","1","-0.89","0","0","0.89","-2.67","false"
"trendMomentum","ETH-USDT","9","21","42","55","1","1.5","1","1.5","0","0","N/A","0","0","0","0","N/A","0","0","0","false"
"trendMomentum","BTC-USDT","9","21","42","55","1","1.5","1","1.5","0","0","N/A","0","0","1","-0.89","0","0","0.89","-2.67","false"
"trendMomentum","BTC-USDT+ETH-USDT+SOL-USDT","20","50","42","55","1","1.5","1","1.5","3","1.31","N/A","100","0","10","-2.6","0.69","40","2.48","-10.78","false"
"trendMomentum","BTC-USDT+ETH-USDT","20","50","42","55","1","1.5","1","1.5","0","0","N/A","0","0","3","-2.86","0","0","1.72","-7.44","false"
"trendMomentum","ETH-USDT","20","50","42","55","1","1.5","1","1.5","0","0","N/A","0","0","1","-1.14","0","0","1.14","-3.42","false"
"trendMomentum","BTC-USDT","20","50","42","55","1","1.5","1","1.5","0","0","N/A","0","0","2","-1.72","0","0","1.72","-5.16","false"
"trendMomentum","BTC-USDT+ETH-USDT+SOL-USDT","30","100","42","55","1","1.5","1","1.5","8","0.02","1.01","62.5","2.84","11","1.19","1.18","54.55","2.48","16.75","false"
"trendMomentum","BTC-USDT+ETH-USDT","30","100","42","55","1","1.5","1","1.5","0","0","N/A","0","0","4","-2.02","0.29","25","1.72","-2.86","false"
"trendMomentum","ETH-USDT","30","100","42","55","1","1.5","1","1.5","0","0","N/A","0","0","2","-0.3","0.74","50","1.14","5.66","false"
"trendMomentum","BTC-USDT","30","100","42","55","1","1.5","1","1.5","0","0","N/A","0","0","2","-1.72","0","0","1.72","-5.16","false"
"trendMomentum","BTC-USDT+ETH-USDT+SOL-USDT","9","21","42","55","1","1.5","1","2","1","0.85","N/A","100","0","3","3.39","4.81","66.67","0.89","53.99","false"
"trendMomentum","BTC-USDT+ETH-USDT","9","21","42","55","1","1.5","1","2","0","0","N/A","0","0","1","-0.89","0","0","0.89","-2.67","false"
"trendMomentum","ETH-USDT","9","21","42","55","1","1.5","1","2","0","0","N/A","0","0","0","0","N/A","0","0","0","false"
"trendMomentum","BTC-USDT","9","21","42","55","1","1.5","1","2","0","0","N/A","0","0","1","-0.89","0","0","0.89","-2.67","false"
"trendMomentum","BTC-USDT+ETH-USDT+SOL-USDT","20","50","42","55","1","1.5","1","2","3","2.02","N/A","100","0","10","-0.08","0.99","40","2.48","-2.74","false"
"trendMomentum","BTC-USDT+ETH-USDT","20","50","42","55","1","1.5","1","2","0","0","N/A","0","0","3","-2.86","0","0","1.72","-7.44","false"
